date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:19:31	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2020%20Sep%202022%2004:19:31%20GMT	https://reconquistahipnotica.com/robots.txt		(from )
01:19:31	35942/35942	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2004:19:31%20GMT	https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/pv/index1120.html	(from )
01:19:32	88932/88932	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2017:46:59%20GMT	https://reconquistahipnotica.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/wp-includes/css/dist/block-library/style.min5b21.css	(from https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI)
01:19:32	155185/155185	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2008:30:06%20GMT	https://reconquistahipnotica.com/wp-content/themes/twentytwentyone/style.css?ver=1.3	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/wp-content/themes/twentytwentyone/style4e44.css	(from https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI)
01:19:32	2897/2897	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Nov%202020%2003:06:16%20GMT	https://reconquistahipnotica.com/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.3	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/wp-content/themes/twentytwentyone/assets/css/print4e44.css	(from https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI)
01:19:33	19128/19128	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2017:37:25%20GMT	https://reconquistahipnotica.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI)
01:19:33	1213/1213	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2017:38:31%20GMT	https://reconquistahipnotica.com/wp-content/uploads/elementor/css/post-7.css?ver=1649871511	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/wp-content/uploads/elementor/css/post-7b377.css	(from https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI)
01:19:33	9475/9475	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2017:38:55%20GMT	https://reconquistahipnotica.com/wp-content/uploads/elementor/css/global.css?ver=1649871535	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/wp-content/uploads/elementor/css/globalbbc6.css	(from https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI)
01:19:33	163326/163326	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2017:37:25%20GMT	https://reconquistahipnotica.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.6.3	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/wp-content/plugins/elementor/assets/css/frontend.mina767.css	(from https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI)
01:19:33	2515/2515	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2013:37:17%20GMT	https://reconquistahipnotica.com/wp-content/uploads/elementor/css/post-2.css?ver=1651066637	C:/Meus%20Sites/Reconquista%20suprema/reconquistahipnotica.com/wp-content/uploads/elementor/css/post-27d4c.css	(from https://reconquistahipnotica.com/pv/?fbclid=IwAR3ephGJ8V6W7nlV88E4YlRMROwUmm8uCh3jnx4mcBZ0GWg8kP5jI0iuNMI)
